Date,Commit,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14a,Q14b,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23a,Q23b,Q24a,Q24b,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39a,Q39b,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q81,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99
2017/11/20 17:17,d54bfec2e07f2eb934185402f915558fe27b9312,10529,15510,11968,12741,12839,8934,16649,12980,4892,10965,13795,12431,14552,9685,8975,13487,16894,26053,19597,14834,12431,13889,13603,11074,9703,16725,0,18963,16649,17356,10384,18699,11766,11914,10561,12015,11219,16441,14062,11598,9686,14373,8797,14255,12529,11984,18445,9097,15376,14749,13316,11704,12943,18239,10992,11984,12148,13461,11904,12436,13092,11603,17106,6362,10380,16358,12148,27372,10584,35112,13871,15712,10965,12258,10583,18680,11219,12269,10539,8502,12140,14288,14029,15384,11845,11598,11394,9373,21622,12258,9686,7167,13372,3595,15590,10561,11646,16894,11555,3823,8453,12431,16358
2017/11/21 06:10,41c6f36018eb086477f21574aacd71616513bd8e,10529,15510,11968,12741,12839,8934,16649,12980,4892,10965,13795,12431,14552,9685,8975,13487,16894,26053,19597,14834,12431,13889,13603,11074,9703,16725,0,18963,16649,17356,10384,18699,11766,11914,10561,12015,11219,16441,14062,11598,9686,14373,8797,14255,12529,11984,18445,9097,15376,14749,13316,11704,12943,18239,10992,11984,12148,13461,11904,12436,13092,11603,17106,6362,10380,16358,12148,27372,10584,35112,13871,15712,10965,12258,10583,18680,11219,12269,10539,8502,12140,14288,14029,15384,11845,11598,11394,9373,21622,12258,9686,7167,13372,3595,15590,10561,11646,16894,11555,3823,8453,12431,16358
2017/11/22 06:10,881c5c807304a305ef96e805d51afbde097f7f4f,10529,15510,11968,12741,12839,8934,16649,12980,4892,10965,13795,12431,14552,9685,8975,13487,16894,26053,19597,14834,12431,13889,13603,11074,9703,16725,0,18963,16649,17356,10384,18699,11766,11914,10561,12015,11219,16441,14062,11598,9686,14373,8797,14255,12529,11984,18445,9097,15376,14749,13316,11704,12943,18239,10992,11984,12148,13461,11904,12436,13092,11603,17106,6362,10380,16358,12148,27372,10584,35112,13871,15712,10965,12258,10583,18680,11219,12269,10539,8502,12140,14288,14029,15384,11845,11598,11394,9373,21622,12258,9686,7167,13372,3595,15590,10561,11646,16894,11555,3823,8453,12431,16358
2017/11/23 06:14,b4edafa99bd3858c166adeefdafd93dcd4bc9734,10529,15510,11968,12741,12839,8934,16649,12980,4892,10965,13795,12431,14552,9685,8975,13487,16894,26053,19597,14834,12431,13889,13603,11074,9703,16725,0,18963,16649,17356,10384,18699,11766,11914,10561,12015,11219,16441,14062,11598,9686,14373,8797,14255,12529,11984,18445,9097,15376,14749,13316,11704,12943,18239,10992,11984,12148,13461,11904,12436,13092,11603,17106,12436,10380,16358,12148,27372,10584,35112,13871,15712,10965,12258,10583,18680,11219,12269,10539,8502,12140,14288,14029,15384,11845,11598,11394,9373,21622,12258,9686,7167,13372,3595,15590,10561,11646,16894,11555,3823,8453,12431,16358
2017/11/24 06:10,c1217565e20bd3297f3b1bc8f18f5dea933211c0,10529,15510,11968,12741,12839,8934,16649,12980,4892,10965,13795,12431,14552,9685,8975,13487,16894,26053,19597,14834,12431,13889,13603,11074,9703,16725,0,18963,16649,17356,10384,18699,11766,11914,10561,12015,11219,16441,14062,11598,9686,14373,8797,14255,12529,11984,18445,9097,15376,14749,13316,11704,12943,18239,10992,11984,12148,13461,11904,12436,13092,11603,17106,6362,10380,16358,12148,27372,10584,35112,13871,15712,10965,12258,10583,18680,11219,12269,10539,8502,12140,14288,14029,15384,11845,11598,11394,9373,21622,12258,9686,7167,13372,3595,15590,10561,11646,16894,11555,3823,8453,12431,16358
2017/11/25 06:11,a1877f45c3451d18879083ed9b71dd9d5f583f1c,10529,15510,11968,12741,12839,8934,16649,12980,4892,10965,13795,12431,14552,9685,8975,13487,16894,26053,19597,14834,12431,13889,13603,11074,9703,16725,0,18963,16649,17356,10384,18699,11766,11914,10561,12015,11219,16441,14062,11598,9686,14373,8797,14255,12529,11984,18445,9097,15376,14749,13316,11704,12943,18239,10992,11984,12148,13461,11904,12436,13092,11603,17106,6362,10380,16358,12148,27372,10584,35112,13871,15712,10965,12258,10583,18680,11219,12269,10539,8502,12140,14288,14029,15384,11845,11598,11394,9373,21622,12258,9686,7167,13372,3595,15590,10561,11646,16894,11555,3823,8453,12431,16358
2017/11/26 06:10,4d8ace48698c9a5e45cfc896b170914f1c21dc7b,10529,15510,11968,12741,12839,8934,16649,12980,4892,10965,13795,12431,14552,9685,8975,13487,16894,26053,19597,14834,12431,13889,13603,11074,9703,16725,0,18963,16649,17356,10384,18699,11766,11914,10561,12015,11219,16441,14062,11598,9686,14373,8797,14255,12529,11984,18445,9097,15376,14749,13316,11704,12943,18239,10992,11984,12148,13461,11904,12436,13092,11603,17106,6362,10380,16358,12148,27372,10584,35112,13871,15712,10965,12258,10583,18680,11219,12269,10539,8502,12140,14288,14029,15384,11845,11598,11394,9373,21622,12258,9686,7167,13372,3595,15590,10561,11646,16894,11555,3823,8453,12431,16358
2017/11/27 06:10,d49d9e40383209eed9584a4ef2c3964f27f4a08f,10529,15510,11968,12741,12839,8934,16649,12980,4892,10965,13795,12431,14552,9685,8975,13487,16894,26053,19597,14834,12431,13889,13603,11074,9703,16725,0,18963,16649,17356,10384,18699,11766,11914,10561,12015,11219,16441,14062,11598,9686,14373,8797,14255,12529,11984,18445,9097,15376,14749,13316,11704,12943,18239,10992,11984,12148,13461,11904,12436,13092,11603,17106,12436,10380,16358,12148,27372,10584,35112,13871,15712,10965,12258,10583,18680,11219,12269,10539,8502,12140,14288,14029,15384,11845,11598,11394,9373,21622,12258,9686,7167,13372,3595,15590,10561,11646,16894,11555,3823,8453,12431,16358
2017/11/28 06:10,33d43bf1b6f55594187066f0e38ba3985fa2542b,10529,16935,11968,12741,12839,8934,16649,12980,5243,10965,13795,12431,14552,9685,8975,13487,16894,26053,19597,14834,12431,14301,13603,11074,9703,16725,0,18963,16649,17356,10384,18699,11766,11914,10561,12015,11219,16441,14062,11598,9686,14373,9221,14461,12529,11984,19864,9097,15376,14749,13316,11704,12943,19280,10992,11984,12148,13461,11904,12436,13092,11603,18541,4066,10380,17398,12148,27372,10584,37417,13871,15712,10965,12258,10583,18680,11219,12269,10539,8502,12140,14288,14029,15384,11845,11598,11394,9373,21622,12258,9686,7167,13372,3595,15590,10561,11757,16894,11555,3823,8453,12431,17398
2017/11/29 06:10,475a29f11ef488e7cb19bf7e0696d9d099d77c92,10529,16791,11968,12741,12839,8934,16649,12980,5193,10965,13795,12431,14552,9685,8975,13487,16894,26053,19597,14834,12431,14261,13603,11074,9703,16725,0,18963,16649,17356,10384,18699,11766,11914,10561,12015,11219,16441,14062,11598,9686,14373,9181,14441,12529,11984,19716,9097,15376,14749,13316,11704,12943,19180,10992,11984,12148,13461,11904,12436,13092,11603,18393,4066,10380,17298,12148,27372,10584,37109,13871,15712,10965,12258,10583,18680,11219,12269,10539,8502,12140,14288,14029,15384,11845,11598,11394,9373,21622,12258,9686,7167,13372,3595,15590,10561,11747,16894,11555,3823,8453,12431,17298
