-RECORD 0--------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9011004    
 i_class_id     | 11         
 i_category_id  | 9          
 i_manufact_id  | 730 6136   
 prev_yr_cnt    | 3927       
 curr_yr_cnt    | -2209      
 sales_cnt_diff | -64592.86  
 sales_amt_diff | null       
-RECORD 1--------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9004008    
 i_class_id     | 4          
 i_category_id  | 9          
 i_manufact_id  | 454 6130   
 prev_yr_cnt    | 4012       
 curr_yr_cnt    | -2118      
 sales_cnt_diff | -137401.99 
 sales_amt_diff | null       
-RECORD 2--------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9006010    
 i_class_id     | 6          
 i_category_id  | 9          
 i_manufact_id  | 373 6584   
 prev_yr_cnt    | 4510       
 curr_yr_cnt    | -2074      
 sales_cnt_diff | -56824.27  
 sales_amt_diff | null       
-RECORD 3--------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9003002    
 i_class_id     | 3          
 i_category_id  | 9          
 i_manufact_id  | 331 6314   
 prev_yr_cnt    | 4249       
 curr_yr_cnt    | -2065      
 sales_cnt_diff | -162310.87 
 sales_amt_diff | null       
-RECORD 4--------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9016002    
 i_class_id     | 16         
 i_category_id  | 9          
 i_manufact_id  | 761 6098   
 prev_yr_cnt    | 4109       
 curr_yr_cnt    | -1989      
 sales_cnt_diff | -75674.23  
 sales_amt_diff | null       
-RECORD 5--------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 2001001    
 i_class_id     | 7          
 i_category_id  | 9          
 i_manufact_id  | 85 5689    
 prev_yr_cnt    | 3750       
 curr_yr_cnt    | -1939      
 sales_cnt_diff | -79485.07  
 sales_amt_diff | null       
-RECORD 6--------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9011010    
 i_class_id     | 11         
 i_category_id  | 9          
 i_manufact_id  | 254 6635   
 prev_yr_cnt    | 4698       
 curr_yr_cnt    | -1937      
 sales_cnt_diff | -108841.59 
 sales_amt_diff | null       
-RECORD 7--------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9003002    
 i_class_id     | 3          
 i_category_id  | 9          
 i_manufact_id  | 1000 6152  
 prev_yr_cnt    | 4220       
 curr_yr_cnt    | -1932      
 sales_cnt_diff | -51341.52  
 sales_amt_diff | null       
-RECORD 8--------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9009010    
 i_class_id     | 1          
 i_category_id  | 9          
 i_manufact_id  | 311 6980   
 prev_yr_cnt    | 5065       
 curr_yr_cnt    | -1915      
 sales_cnt_diff | -166624.1  
 sales_amt_diff | null       
-RECORD 9--------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9003004    
 i_class_id     | 3          
 i_category_id  | 9          
 i_manufact_id  | 25 6382    
 prev_yr_cnt    | 4612       
 curr_yr_cnt    | -1770      
 sales_cnt_diff | -109080.8  
 sales_amt_diff | null       
-RECORD 10-------------------
 prev_year      | 2001       
 year           | 2002       
 i_brand_id     | 9008008    
 i_class_id     | 8          
 i_category_id  | 9          
 i_manufact_id  | 322 5391   
 prev_yr_cnt    | 3664       
 curr_yr_cnt    | -1727      
