-- Automatically generated by TPCDSQueryValidator$
-RECORD 0------------------------------------------
 i_item_id                      | AAAAAAAAKPFEAAAA 
 i_item_desc                    | Recently right   
 s_state                        | TN               
 store_sales_quantitycount      | 1                
 store_sales_quantityave        | 99.0             
 store_sales_quantitystdev      | NaN              
 store_sales_quantitycov        | NaN              
 as_store_returns_quantitycount | 1                
 as_store_returns_quantityave   | 66.0             
 as_store_returns_quantitystdev | NaN              
 store_returns_quantitycov      | NaN              
 catalog_sales_quantitycount    | 1                
 catalog_sales_quantityave      | 32.0             
 catalog_sales_quantitystdev    | NaN              
 catalog_sales_quantitycov      | NaN
           
