-- Automatically generated by TPCDSQueryValidator$
-RECORD 0--------------------------------
 i_category        | Men                 
 i_brand           | importoimporto #1   
 s_store_name      | ese                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 5492.817500         
 sum_sales         | 2070.65             
 psum              | 3307.78             
 nsum              | 2784.11             
-RECORD 1--------------------------------
 i_category        | Music               
 i_brand           | exportischolar #1   
 s_store_name      | eing                
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 5134.238333         
 sum_sales         | 1740.21             
 psum              | 4401.89             
 nsum              | 2721.61             
-RECORD 2--------------------------------
 i_category        | Music               
 i_brand           | edu packscholar #1  
 s_store_name      | ese                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 4                   
 avg_monthly_sales | 5463.700833         
 sum_sales         | 2091.07             
 psum              | 3391.39             
 nsum              | 3095.31             
-RECORD 3--------------------------------
 i_category        | Music               
 i_brand           | edu packscholar #1  
 s_store_name      | ought               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 7                   
 avg_monthly_sales | 5552.305000         
 sum_sales         | 2226.34             
 psum              | 4081.99             
 nsum              | 7573.33             
-RECORD 4--------------------------------
 i_category        | Music               
 i_brand           | edu packscholar #1  
 s_store_name      | ese                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 2                   
 avg_monthly_sales | 5463.700833         
 sum_sales         | 2268.27             
 psum              | 4139.47             
 nsum              | 3391.39             
-RECORD 5--------------------------------
 i_category        | Men                 
 i_brand           | edu packimporto #1  
 s_store_name      | ought               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 7                   
 avg_monthly_sales | 5176.257500         
 sum_sales         | 1993.73             
 psum              | 3542.54             
 nsum              | 5764.35             
-RECORD 6--------------------------------
 i_category        | Children            
 i_brand           | exportiexporti #1   
 s_store_name      | ese                 
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 3                   
 avg_monthly_sales | 5185.898333         
 sum_sales         | 2019.69             
 psum              | 3479.21             
 nsum              | 2982.05             
-RECORD 7--------------------------------
 i_category        | Shoes               
 i_brand           | amalgedu pack #1    
 s_store_name      | ation               
 s_company_name    | Unknown             
 d_year            | 1999                
 d_moy             | 6                   
 avg_monthly_sales | 5152.095833         
 sum_sales         | 2077.67             
 psum              | 3123.43             
