-- Automatically generated by TPCDSQueryValidator$
-RECORD 0----------------------------
 s_store_name    | able              
 s_company_id    | 1                 
 s_street_number | 255               
 s_street_name   | Sycamore          
 s_street_type   | Dr.               
 s_suite_number  | Suite 410         
 s_city          | Midway            
 s_county        | Williamson County 
 s_state         | TN                
 s_zip           | 31904             
 30 days         | 67                
 31 - 60 days    | 48                
 61 - 90 days    | 61                
 91 - 120 days   | 66                
 >120 days       | 98                
-RECORD 1----------------------------
 s_store_name    | ation             
 s_company_id    | 1                 
 s_street_number | 811               
 s_street_name   | Lee               
 s_street_type   | Circle            
 s_suite_number  | Suite T           
 s_city          | Midway            
 s_county        | Williamson County 
 s_state         | TN                
 s_zip           | 31904             
 30 days         | 70                
 31 - 60 days    | 51                
 61 - 90 days    | 50                
 91 - 120 days   | 61                
 >120 days       | 109               
-RECORD 2----------------------------
 s_store_name    | bar               
 s_company_id    | 1                 
 s_street_number | 175               
 s_street_name   | 4th               
 s_street_type   | Court             
 s_suite_number  | Suite C           
 s_city          | Midway            
 s_county        | Williamson County 
 s_state         | TN                
 s_zip           | 31904             
 30 days         | 96                
 31 - 60 days    | 53                
 61 - 90 days    | 55                
 91 - 120 days   | 76                
 >120 days       | 86                
-RECORD 3----------------------------
 s_store_name    | eing              
 s_company_id    | 1                 
 s_street_number | 226               
 s_street_name   | 12th              
 s_street_type   | Lane              
 s_suite_number  | Suite D           
 s_city          | Fairview          
 s_county        | Williamson County 
 s_state         | TN                
 s_zip           | 35709             
 30 days         | 69                
 31 - 60 days    | 63                
 61 - 90 days    | 62                
 91 - 120 days   | 63                
 >120 days       | 114               
-RECORD 4----------------------------
 s_store_name    | ese               
 s_company_id    | 1                 
 s_street_number | 27                
 s_street_name   | Lake              
 s_street_type   | Ln                
 s_suite_number  | Suite 260         
 s_city          | Midway            
 s_county        | Williamson County 
 s_state         | TN                
 s_zip           | 31904             
 30 days         | 58                
 31 - 60 days    | 57                
 61 - 90 days    | 55                
 91 - 120 days   | 54                
 >120 days       | 106               
-RECORD 5----------------------------
 s_store_name    | ought             
 s_company_id    | 1                 
 s_street_number | 767               
 s_street_name   | Spring            
 s_street_type   | Wy                
 s_suite_number  | Suite 250         
 s_city          | Midway            
 s_county        | Williamson County 
 s_state         | TN                
 s_zip           | 31904             
 30 days         | 81                
 31 - 60 days    | 63                
 61 - 90 days    | 52                
 91 - 120 days   | 58                
 >120 days       | 103
           
